Region,SearchInterest
Connecticut,100
Massachusetts,83
Rhode Island,77
Delaware,61
South Carolina,55
North Carolina,51
New Hampshire,48
Maryland,46
New Jersey,46
Kentucky,46
Vermont,45
Tennessee,44
Alabama,43
Virginia,41
Maine,37
District of Columbia,37
Georgia,35
New York,35
Missouri,34
Pennsylvania,33
Ohio,31
Mississippi,28
Florida,24
West Virginia,23
Arkansas,22
Michigan,22
Oklahoma,22
Indiana,22
Illinois,21
Kansas,21
Louisiana,21
Texas,20
Minnesota,15
Nebraska,14
Wisconsin,14
Colorado,11
Iowa,11
North Dakota,8
California,7
Arizona,7
South Dakota,5
Montana,5
Washington,5
Hawaii,4
New Mexico,4
Idaho,4
Nevada,4
Utah,3
Oregon,3
Alaska,
Wyoming,